Task,Description,Success Rate (%)
libero_10_0,put both the alphabet soup and the tomato sauce in the basket,96.00
libero_10_1,put both the cream cheese box and the butter in the basket,100.00
libero_10_2,turn on the stove and put the moka pot on it,96.00
libero_10_3,put the black bowl in the bottom drawer of the cabinet and close it,96.00
libero_10_4,put the white mug on the left plate and put the yellow and white mug on the right plate,86.00
libero_10_5,pick up the book and place it in the back compartment of the caddy,100.00
libero_10_6,put the white mug on the plate and put the chocolate pudding to the right of the plate,86.00
libero_10_7,put both the alphabet soup and the cream cheese box in the basket,98.00
libero_10_8,put both moka pots on the stove,92.00
libero_10_9,put the yellow and white mug in the microwave and close it,100.00
libero_goal_0,open the middle drawer of the cabinet,96.00
libero_goal_1,put the bowl on the stove,98.00
libero_goal_2,put the wine bottle on top of the cabinet,96.00
libero_goal_3,open the top drawer and put the bowl inside,80.00
libero_goal_4,put the bowl on top of the cabinet,100.00
libero_goal_5,push the plate to the front of the stove,100.00
libero_goal_6,put the cream cheese in the bowl,98.00
libero_goal_7,turn on the stove,100.00
libero_goal_8,put the bowl on the plate,100.00
libero_goal_9,put the wine bottle on the rack,88.00
libero_object_0,pick up the alphabet soup and place it in the basket,100.00
libero_object_1,pick up the cream cheese and place it in the basket,100.00
libero_object_2,pick up the salad dressing and place it in the basket,100.00
libero_object_3,pick up the bbq sauce and place it in the basket,100.00
libero_object_4,pick up the ketchup and place it in the basket,100.00
libero_object_5,pick up the tomato sauce and place it in the basket,94.00
libero_object_6,pick up the butter and place it in the basket,100.00
libero_object_7,pick up the milk and place it in the basket,100.00
libero_object_8,pick up the chocolate pudding and place it in the basket,100.00
libero_object_9,pick up the orange juice and place it in the basket,100.00
libero_spatial_0,pick up the black bowl between the plate and the ramekin and place it on the plate,98.00
libero_spatial_1,pick up the black bowl next to the ramekin and place it on the plate,98.00
libero_spatial_2,pick up the black bowl from table center and place it on the plate,100.00
libero_spatial_3,pick up the black bowl on the cookie box and place it on the plate,98.00
libero_spatial_4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,94.00
libero_spatial_5,pick up the black bowl on the ramekin and place it on the plate,94.00
libero_spatial_6,pick up the black bowl next to the cookie box and place it on the plate,100.00
libero_spatial_7,pick up the black bowl on the stove and place it on the plate,100.00
libero_spatial_8,pick up the black bowl next to the plate and place it on the plate,96.00
libero_spatial_9,pick up the black bowl on the wooden cabinet and place it on the plate,98.00
